Generation,BestSolution, Average in Solution
1,9061,15502.35
2,9061,15766.79
3,9061,15262.14
4,9061,15338.58
5,9061,15198.33
6,9061,15339.75
7,9061,15502.17
8,9061,15684.11
9,9061,15561.36
10,9061,15600.19
11,9061,15796.37
12,9061,16101.91
13,9061,16130.69
14,9061,16335.94
15,9061,16109.75
16,8975,15805.99
17,8975,15901.01
18,8975,16003.6
19,8975,16068.7
20,8975,16162.04
21,8975,16142.25
22,8975,16241.75
23,8975,16097.15
24,8975,16133.39
25,8975,16140.5
26,8975,16139.82
27,8975,15857.95
28,8975,15817.09
29,8975,16021.05
30,8975,15912.67
31,8975,15936.7
32,8975,16073.61
33,8975,16268.4
34,8975,16112.29
35,8975,16098.17
36,8975,15830.69
37,8975,16012.38
38,8975,15997.89
39,8975,15967.81
40,8975,15801.93
41,8975,15762.21
42,8975,15899.27
43,8975,15841.92
44,8975,16082.32
45,8892,15982.27
46,8892,16244.44
47,8892,16308.98
48,8892,16032.78
49,8892,16226.17
50,8892,16395.16
51,8749,16367.64
52,8749,16395.08
53,8749,16677.24
54,8749,16760.7
55,8749,16309.55
56,8749,16305.32
57,8749,16287.21
58,8749,16141.86
59,8749,16291.64
60,8749,16238.92
61,8749,16137.38
62,8749,15913.72
63,8749,15813.43
64,8749,15867.9
65,8749,15999.44
66,8749,16326.13
67,8749,16407.62
68,8749,15933.91
69,8749,15799.7
70,8749,15931.81
71,8283,15857.52
72,8271,15912.83
73,8270,16087.07
74,8270,16141.35
75,8270,15737.31
76,8270,15748.79
77,8270,15925.81
78,8270,15454.86
79,8270,15164.8
80,8270,14959.26
81,8270,14784.47
82,8270,14444.3
83,8270,14615.1
84,8270,14768.93
85,8270,14713.84
86,8270,14460.85
87,8270,14545
88,8270,14687.63
89,8270,14770.94
90,8270,14752.35
91,8270,14816.24
92,8270,14872.04
93,8270,14751.21
94,8270,14727.4
95,8270,14767.75
96,8270,14848.04
97,8270,14694.92
98,8270,14584.67
99,8270,14510.92
100,8270,14517.84
101,8270,14677.62
102,8270,14664.73
103,8270,14793.84
104,8270,14586.11
105,8270,14305.62
106,8270,14602.98
107,8270,14694.28
108,8270,14534.05
109,8270,14308.51
110,8270,14273.73
111,8270,14259.29
112,8270,14329.72
113,8270,14532.97
114,8270,14432.02
115,8270,14488.92
116,8270,14480.23
117,8270,14524.1
118,8270,14508.36
119,8270,14623.49
120,8270,14356.94
121,8270,14553.62
122,8270,14709.22
123,8270,14527.57
124,8270,14493.27
125,8270,14529.77
126,8270,14682.8
127,8270,14799.71
128,8270,14717.45
129,8270,14669.29
130,8270,14580.62
131,8270,14740.98
132,8270,14805.61
133,8270,14667.6
134,8270,14569.83
135,8270,14573.16
136,8270,14534.49
137,8270,14543.19
138,8270,14772.91
139,8270,14594.49
140,8270,14731.12
141,8270,14757.76
142,8270,14626.98
143,8270,14486.58
144,8270,14538.63
145,8270,14521.95
146,8270,14524.13
147,8270,14409.53
148,8270,14545.41
149,8270,14592.27
150,8270,14708.13
151,8270,14614.71
152,8270,14595.48
153,8270,14503.71
154,8270,14463.17
155,8270,14414.43
156,8270,14512.24
157,8270,14547.43
158,8270,14519.66
159,8270,14607.95
160,8270,14550.73
161,8270,14511.75
162,8270,14668.4
163,8270,14683.29
164,8270,14768.89
165,8270,14677.61
166,8270,14608.11
167,8270,14640.18
168,8270,14603.17
169,8270,14573.61
170,8270,14398.42
171,8270,14362.4
172,8270,14459.17
173,8270,14484.47
174,8270,14360.56
175,8270,14328.84
176,8270,14217.49
177,8270,14215.3
178,8270,14396.7
179,8270,14343.18
180,8270,14530.78
181,8270,14528.4
182,8270,14587.2
183,8270,14633.49
184,8270,14697.8
185,8270,14596.46
186,8270,14636.43
187,8270,14527.13
